Tick 42, has-tree?: 0, landslide at (-10, 2), slope -7.17
Tick 42, has-tree?: 0, landslide at (-3, -3), slope -10.8
Tick 42, has-tree?: 0, landslide at (16, -14), slope -7.02
Tick 42, has-tree?: 0, landslide at (15, -16), slope -11.04
Tick 42, has-tree?: 0, landslide at (11, 14), slope -9.44
Tick 42, has-tree?: 0, landslide at (8, -1), slope -13.32
Tick 42, has-tree?: 0, landslide at (0, 2), slope -16.16
Tick 42, has-tree?: 0, landslide at (0, 13), slope -10.62
Tick 42, has-tree?: 0, landslide at (7, 11), slope -13.2
Tick 42, has-tree?: 0, landslide at (0, -3), slope -10.63
Tick 42, has-tree?: 0, landslide at (-10, -15), slope -12.56
Tick 42, has-tree?: 0, landslide at (5, 6), slope -4.69
Tick 42, has-tree?: 0, landslide at (-2, -15), slope -12.09
Tick 42, has-tree?: 0, landslide at (-12, 9), slope -7.24
Tick 42, has-tree?: 0, landslide at (6, 14), slope -4.84
Tick 42, has-tree?: 0, landslide at (2, 10), slope -3.08
Tick 42, has-tree?: 0, landslide at (2, -5), slope -17.2
Tick 42, has-tree?: 0, landslide at (12, -5), slope -9.49
Tick 42, has-tree?: 0, landslide at (13, 12), slope -4.43
Tick 42, has-tree?: 0, landslide at (11, -3), slope -14.92
Tick 42, has-tree?: 0, landslide at (-4, -2), slope -3.44
Tick 42, has-tree?: 0, landslide at (9, -7), slope -4.43
Tick 42, has-tree?: 0, landslide at (2, -2), slope -7.31
Tick 42, has-tree?: 0, landslide at (0, -14), slope -3.39
Tick 42, has-tree?: 0, landslide at (5, -7), slope -16.97
Tick 42, has-tree?: 0, landslide at (-2, 15), slope -5.7
Tick 42, has-tree?: 0, landslide at (-11, -10), slope -3.4
Tick 42, has-tree?: 0, landslide at (4, 12), slope -4.75
Tick 42, has-tree?: 0, landslide at (15, 4), slope -4.84
Tick 42, has-tree?: 0, landslide at (3, 13), slope -6.33
Tick 43, has-tree?: 0, landslide at (11, -15), slope -2.91
Tick 43, has-tree?: 0, landslide at (4, -1), slope -2.89
Tick 43, has-tree?: 0, landslide at (-2, 1), slope -2.9
Tick 43, has-tree?: 0, landslide at (-1, 0), slope -2.91
Tick 43, has-tree?: 0, landslide at (-14, -8), slope -2.89
Tick 43, has-tree?: 0, landslide at (-11, 3), slope -2.88
Tick 44, has-tree?: 0, landslide at (8, 0), slope -2.82
Tick 45, has-tree?: 0, landslide at (2, 4), slope -2.75
Tick 45, has-tree?: 0, landslide at (12, 15), slope -2.79
Tick 45, has-tree?: 0, landslide at (-6, 5), slope -2.77
Tick 46, has-tree?: 0, landslide at (9, 15), slope -2.69
Tick 46, has-tree?: 0, landslide at (12, 12), slope -2.69
Tick 46, has-tree?: 0, landslide at (-12, 10), slope -2.71
Tick 47, has-tree?: 0, landslide at (-10, 7), slope -2.67
Tick 47, has-tree?: 0, landslide at (3, -11), slope -2.64
Tick 48, has-tree?: 0, landslide at (7, 12), slope -2.6
Tick 48, has-tree?: 0, landslide at (13, 2), slope -2.59
Tick 48, has-tree?: 0, landslide at (-8, -3), slope -2.6
Tick 50, has-tree?: 0, landslide at (-12, 6), slope -2.47
Tick 51, has-tree?: 0, landslide at (13, 3), slope -2.39
Tick 51, has-tree?: 0, landslide at (-5, -9), slope -2.4
Tick 51, has-tree?: 0, landslide at (2, -15), slope -2.41
Tick 51, has-tree?: 0, landslide at (-3, -15), slope -2.41
Tick 52, has-tree?: 0, landslide at (-6, -7), slope -2.36
Tick 52, has-tree?: 0, landslide at (-6, 3), slope -2.34
Tick 53, has-tree?: 0, landslide at (4, -8), slope -2.29
Tick 53, has-tree?: 1, landslide at (8, 12), slope -18.45
Tick 54, has-tree?: 0, landslide at (12, -13), slope -2.26
Tick 54, has-tree?: 0, landslide at (12, -15), slope -2.23
Tick 56, has-tree?: 0, landslide at (16, -16), slope -2.1
Tick 57, has-tree?: 0, landslide at (1, 11), slope -2.05
Tick 57, has-tree?: 0, landslide at (16, 14), slope -2.06
Tick 58, has-tree?: 0, landslide at (0, 3), slope -1.96
Tick 58, has-tree?: 0, landslide at (2, 2), slope -1.98
Tick 59, has-tree?: 0, landslide at (-4, -1), slope -1.92
Tick 59, has-tree?: 0, landslide at (14, -7), slope -1.91
Tick 60, has-tree?: 0, landslide at (5, 15), slope -1.89
Tick 61, has-tree?: 0, landslide at (-5, -1), slope -1.82
Tick 62, has-tree?: 0, landslide at (-13, -7), slope -1.75
Tick 62, has-tree?: 0, landslide at (-1, 10), slope -1.75
Tick 63, has-tree?: 0, landslide at (10, -14), slope -1.7
Tick 63, has-tree?: 0, landslide at (-7, 0), slope -1.67
